id;id_factura;fecha_creacion;valor_abono;tipo_factura
1;69713;2022-03-12T15:12:39;26546;Clonado Cliente connecting
2;27424;2022-03-11T22:07:40;26346;Camiseta Algodón
3;79437;2022-03-12T01:25:28;45183;program monitor
4;32534;2022-03-12T04:58:58;74115;Parafarmacia index
5;24017;2022-03-12T02:02:39;2284;Verde Bedfordshire hack
6;91132;2022-03-12T08:30:15;68017;Checking implementación
7;86885;2022-03-12T03:45:47;21359;cutting-edge 24 programming
8;77695;2022-03-11T19:03:19;81464;Mercados actitud monitor
9;9384;2022-03-12T00:14:04;64937;channels
10;7301;2022-03-12T00:07:32;66771;quantify reintermediate política
