id;fecha_creacion;valor_venta_dia;valor_registrado_dia;estado;diferencia
1;2022-03-12T07:27:14;24238;1102;CANCELADA;42801
2;2022-03-12T04:42:04;27364;90877;PAGADA;9839
3;2022-03-12T05:54:43;77070;43665;DEUDA;30474
4;2022-03-12T05:04:25;61364;74193;CANCELADA;87962
5;2022-03-12T07:46:06;76784;52390;CANCELADA;71685
6;2022-03-12T06:50:09;37428;24446;PAGADA;90762
7;2022-03-12T12:05:29;43458;85818;CANCELADA;35016
8;2022-03-12T03:05:35;78616;73079;PAGADA;14413
9;2022-03-12T03:10:55;20881;70322;CANCELADA;17933
10;2022-03-12T03:59:29;73509;94102;DEUDA;71827
