id;nombre;precio;cantidad;foto;foto_content_type;descripcion;id_categoria
1;actitud;22191;90204;../fake-data/blob/hipster.png;image/png;transmit;20622
2;Buckinghamshire Morado;24552;81405;../fake-data/blob/hipster.png;image/png;Yemen Granito;13828
3;open-source Práctico deposit;33378;71714;../fake-data/blob/hipster.png;image/png;reboot Liberian;54007
4;Canada;88711;94847;../fake-data/blob/hipster.png;image/png;virtual Juguetería back-end;16908
5;synthesize Berkshire;76382;67494;../fake-data/blob/hipster.png;image/png;microchip compress ROI;66618
6;Gris Innovador;28242;73188;../fake-data/blob/hipster.png;image/png;invoice Plástico innovative;95544
7;holística withdrawal Navarra;54847;93351;../fake-data/blob/hipster.png;image/png;de;28148
8;Queso;7688;80242;../fake-data/blob/hipster.png;image/png;Manat Global Estratega;70490
9;synergies vertical world-class;18378;53626;../fake-data/blob/hipster.png;image/png;optimize Rupee;59236
10;Respuesta program e-markets;64356;7548;../fake-data/blob/hipster.png;image/png;Mercados Madera;38494
